Balda,RegCasa,place_id,Latitude,Longitude,Balda_Adj
الريحان,جزين,ChIJkSIduADqHhURrmgSW6Fvr1k,33.44438650000001,35.5676156,الريحان
الريحانه,جبيل,EjXYo9mI2KrZiNiz2KrYsdin2K8g2KzYqNmK2YQgLSDYrNmI2YbZitmH2Iwg2YTYqNmG2KfZhg,33.99364,35.6442463,الريحانه
الريحانية,عكار,ChIJXeZYfHEwIhURntrAmVHZmhE,34.583687,36.116741,الريحانية
الزرارية,صيدا,ChIJJSoTA5OOHhURHJlp0Jg_VXE,33.3421025,35.33265220000001,الزرارية
الزرازير,بعلبك,ChIJ9UEFaGUIIhUR-llQoeY1PLI,34.1480812,36.1016081,الزرازير
الزعرورية,الشوف,ChIJn9jGZyrhHhURjporOn5bh5g,33.6147214,35.520742999999996,الزعرورية
الزعيتره,كسروان,ChIJWTbvav1EHxURbjIg_4RgNo0,34.069129499999995,35.6957412,الزعيتره
الزغرين,المتن,ChIJhxlMMmw4HxURAGUr6Hy_r-w,33.925495700000006,35.714219,الزغرين
الزلقا,المتن,ChIJbzq8ufs9HxURyh2dkT3Z4ok,33.902778600000005,35.57585870000001,الزلقا
الزلوطيه,صور,ChIJBSit2xwrHBURaiOouA_D6Yk,33.109426899999995,35.24695029999999,الزلوطيه
الزهرية,طرابلس,ChIJ5alWMxz0IRUR1oVGKTjUVQs,34.4403202,35.8433528,الزهرية
الزواريب,عكار,ChIJi6Pbcb8kIhUR0CGtHyqW0h0,34.530800299999996,36.071672899999996,الزواريب
السبيل,صيدا,ChIJPYNajhHx9xQRoZlw9JSMcDw,30.5990702,31.50465059999999,السبيل
السراي,صيدا,ChIJ4XsaNDvwHhUR-lR7b2RszwM,33.5539249,35.3792357,السراي
السعيده,بعلبك,ChIJxam0KnuvGBURbpNxYpAQDro,34.0187088,36.0812506,السعيده
السفري,بعلبك,ChIJi1cvtJqwGBURQCu8agnbims,33.921989700000005,36.0796158,السفري
السفيلة,المتن,ChIJITpN9m05HxURrvrPedhYChI,33.8847575,35.68595089999999,السفيلة
السكسكية,صيدا,ChIJba57rUGLHhURLgwBtcZBSho,33.4364972,35.28364940000001,السكسكية
السلطان يعقوب التحتا,البقاع الغربي,ChIJtf_i0ekrHxURGNBok9JnNEs,33.64264429999999,35.8420224,السلطان يعقوب التحتا
السلطان يعقوب الفوقا,البقاع الغربي,ChIJg1Z8JIUrHxUR5As810nrTWI,33.6457078,35.8629381,السلطان يعقوب الفوقا
السلطانيه,بنت جبيل,ChIJ9WJpvzubHhUR0rt7GFPvBw0,33.2048244,35.405339700000006,السلطانيه
السماعية,صور,ChIJT4LOfLiAHhUR5LPPu42LJ_8,33.221812199999995,35.2361599,السماعية
السماقية,عكار,ChIJixD8oDQvIhURyBggOHDyHjo,34.639411100000004,36.0034886,السماقية
السمقانية,الشوف,ChIJUYs1E3ogHxURhCBCDHpHrNk,33.67001930000001,35.5995481,السمقانية
السمونيه,عكار,ChIJc1qrAQklIhURuski9IpX5Vk,34.5736893,36.0487356,السمونيه
السهله,عكار,ChIJO_Mer49LIhURZOTv1YJnNOU,34.6039657,36.341244399999994,السهله
السويسة,الهرمل,ChIJM-29zuJGIhUR5J4Z_x7xNcc,34.4629136,36.3082348,السويسة
السويقة,طرابلس,ChIJYRcnIR30IRUR_he70c3tURw,34.441417799999996,35.8402776,السويقة
الشارع,صيدا,ChIJaRixV_vNskwR5h-lMIM4Lp0,43.4567475,-70.9478408,الشارع
الشبانية,بعبدا,ChIJ5eJMm_w6HxURTJm7z8RHOrU,33.815598,35.7164824,الشبانية
الشبرقية,البقاع الغربي,ChIJRZyY44MuHxURqKVrrOWcODc,33.7035256,35.8229631,الشبرقية
الشبريحا,صور,ChIJy7nsdZOHHhURDhYPPutWEhY,33.292424,35.23021770000001,الشبريحا
الشربين,الهرمل,ChIJ2StWy81FIhURWP_xqwkyNVI,34.457904600000006,36.36332120000001,الشربين
الشرقية,النبطية,ChIJfWmki8WSHhURGL1CA9clI64,33.3999364,35.419487,الشرقية
الشعيتية,صور,ChIJPcqqbRuBHhURfkD6r5FP8s0,33.196588899999995,35.265484,الشعيتية
الشقدوف,عكار,ChIJVR6FK5I5IhUR1DsFo9VDOVs,34.528208500000005,36.189632,الشقدوف
الشهابيه,صور,ChIJiy-YXzaFHhURftrYOa1Fyts,33.2426436,35.38351919999999,الشهابيه
الشوير,المتن,ChIJuUEidzc4HxUR5GLv3HzZ2cU,33.90539570000001,35.72183850000001,الشوير
الشويفات حي العمروسية,عاليه,ChIJvzr7l7kZHxURFLW-Hq4fbXQ,33.8267976,35.50903779999999,الشويفات حي العمروسية
الشياح بئر العبد,بعبدا,ChIJs8STf3EXHxURhARuWvEzDz4,33.8630206,35.51425529999999,الشياح بئر العبد
الشياح حي كرم الزيتون,بعبدا,ChIJ-7Ahw1YWHxURZ5tqyUZUWR8,33.8900051,35.5261951,الشياح حي كرم الزيتون
الشيخ زناد,عكار,ChIJr6IeuBEmIhURwHba2nqtffk,34.607356,35.9900115,الشيخ زناد
الشيخ طابا,عكار,ChIJ2YE07sckIhURaG5cDrGVMns,34.533056,36.077609499999994,الشيخ طابا
الشيخ عياش,عكار,ChIJ9RqGc641HxURXVMtnWtQFkc,33.854721000000005,35.862285,الشيخ عياش
الشيخ محمد,عكار,ChIJBxF-AdYkIhURjqIkb9SNo9k,34.5494865,36.083568400000004,الشيخ محمد
الصالحية,صيدا,ChIJu4LgV4_vHhURaJ6ymGlpu6k,33.560001299999996,35.42338549999999,الصالحية
الصرفند,صيدا,ChIJB6_WSE2LHhURYj4uY-hila8,33.4514857,35.29069030000001,الصرفند
الصفرا,كسروان,ChIJlz7pW2BBHxURovTDPlqSDGA,34.0417657,35.62964210000001,الصفرا
الصوانة,مرجعيون,ChIJ-TvZy2OaHhURXBblkR5sdvU,33.2333902,35.4374284,الصوانة
الصويري,البقاع الغربي,ChIJL8jpTiUtHxURX5NiPRsEBJM,33.68938,35.90338,الصويري
الصيفي,بيروت,ChIJPyaYvuQWHxURpgvYgEcRH8k,33.8945287,35.509947499999996,الصيفي
الضبيه,المتن,ChIJTfNyRUo-HxURkFdYJTK-404,33.9329151,35.58921810000001,الضبيه
الطيبة,بعلبك,ChIJoQl_36KkGBURsvP0IU3Kh7Q,33.958347700000004,36.1665826,الطيبة
الطيري,بنت جبيل,ChIJjcmjZSidHhURNCfr5MVbrUU,33.13927049999999,35.4005877,الطيري
العاقورة,جبيل,ChIJE9oiBrpUHxURHK_A8TpFQD8,34.121495200000005,35.9040648,العاقورة
العبادية,بعبدا,ChIJ-wT3yeg8HxUR6phyYGX6uHA,33.836731500000006,35.62190250000001,العبادية
العبده,عكار,ChIJyQPWB6ghIhUR-PehBlNf1wU,34.51060379999999,35.9695183,العبده
العبودية,عكار,ChIJfdsE5L0xIhURzNhvxzUEzP4,34.6337723,36.1168919,العبودية
العدوسيه,صيدا,ChIJaa6W6wDzHhURvOQ28K7DBk0,33.4727822,35.3427873,العدوسيه
العذرا,كسروان,ChIJq4T0bcVAHxURat-65f5TCTA,33.989529,35.6412504,العذرا
العربانية,بعبدا,ChIJsR82l2Y5HxURJDdBzmqK6BE,33.8777842,35.6798397,العربانية
العريضة,عكار,ChIJw54FvpkoIhUR8AXXavwTglI,34.63277120000001,35.9765083,العريضة
العزونيه,عاليه,ChIJOb5zFyUlHxURSD6LVNsr-88,33.7731445,35.70635989999999,العزونيه
العطشانة,المتن,ChIJ-xgqnic5HxURfgomdhHu7dY,33.912355100000006,35.65058459999999,العطشانة
العقبة,راشيَا,ChIJ9VAhKVHRHhURfgDRU8oF-ww,33.5050195,35.82205,العقبة
العقيبه,كسروان,ChIJEaVyRPRDHxUR9BzAoIVYpgw,34.0541582,35.6400503,العقيبه
العلالي,البترون,ChIJZ8ey-blXHxURXDZqVC-pAjk,34.205042,35.7728801,العلالي
العماير,عكار,ChIJz8bLu9BMIhURf6tSQi0LIFo,34.6294924,36.386858200000006,العماير
العواده,عكار,ChIJ7Y0rCQEhIhURR7lCBnoQbH4,34.5169974,35.9618247,العواده
العوينات,عكار,ChIJG_jFFVRKIhURiEAHMXfhuLs,34.6252531,36.30211620000001,العوينات
العيرون,المتن,ChIJ71cl-VM4HxUR2q9AP2Xy_cg,33.9073013,35.7026719,العيرون
العيشيه,جزين,ChIJdc1Fn3zqHhURmNNGFN09ekg,33.408332300000005,35.5564344,العيشيه
العين,بعلبك,ChIJ5QtUt_JuIhURGEc5LYXtyn8,34.2283419,36.3721324,العين
العيون,المتن,ChIJDcr5n1A5HxURNKkakkthzsg,33.8829542,35.6632096,العيون
الغابات,جبيل,ChIJNU8-8QBTHxUR4kjqdRHAkL0,34.0818032,35.873415,الغابات
الغابة,المتن,ChIJJ4B4oKs-HxURUBqMVNF5AKA,33.88198189999999,35.64241279999999,الغابة
الغابون,عاليه,ChIJMQVAjVgiHxURYkxxhBSWAxo,33.7813315,35.5952737,الغابون
الغازية,صيدا,ChIJTd57D5PxHhURdNlFDFH6kGU,33.5186303,35.3663174,الغازية
الغبيري بئر حسن,بعبدا,ChIJs0Jla0UXHxURgsSQ-CrmjL8,33.8673937,35.490393,الغبيري بئر حسن
الغزيله,عكار,ChIJweH0LEAwIhURniPAXLZbi44,34.5954785,36.113068,الغزيله
الغسانيه,صيدا,ChIJ0wWR2TqNHhURsqUDVGDI3HQ,33.4178943,35.3583989,الغسانيه
الغندوريه,بنت جبيل,ChIJY3Wg5V6QHhURvMpsl_Efj70,33.272045500000004,35.43102639999999,الغندوريه
الغينه,كسروان,ChIJu2zOz3VFHxURLlPP7nXBS1Y,34.0534017,35.7235765,الغينه
الفاكهه,بعلبك,ChIJT4yQTzJvIhURSCyHkzvVEWI,34.243457299999996,36.4060475,الفاكهه
الفرديس,حاصبيا,ChIJrVm-GErHHhURQH6Rpx85K28,33.35,35.65833329999999,الفرديس
الفريديس,الشوف,ChIJ-5qvU5kmHxURcGLA1ksMqg4,33.71029,35.680135899999996,الفريديس
الفريكه,المتن,ChIJ4VLjGMo4HxURsDMHddGlF0k,33.9359255,35.6582809,الفريكه
الفنار,المتن,ChIJjc5PeY89HxURdhwWgVfvORE,33.87984829999999,35.578307,الفنار
الفوارة,الشوف,ChIJSa7rpUchHxURdqw4o2Hwt4w,33.710885600000005,35.6400334,الفوارة
الفيدار,جبيل,ChIJS_IkPl9DHxURrt8niZ0Usv8,34.0985261,35.65168980000001,الفيدار
القادريه,زغرتا,ChIJnV6tigYeIhURMkNRsL5r5OE,34.4145299,35.92333720000001,القادريه
القاع,بعلبك,ChIJw-2EBlZcIhUR7PTCqopC_Ys,34.3418532,36.480184799999996,القاع
القبة,طرابلس,ChIJbZOPciD0IRUR-Hw-VZfEKd0,34.435767299999995,35.8513044,القبة
القبيات,عكار,ChIJBTX6-sZJIhURgjUb4Z_0_5w,34.571583000000004,36.2815234,القبيات
القبيات الذوق,عكار,ChIJU-2aI8dJIhURrrNbNWv8J1M,34.5734071,36.2859203,القبيات الذوق
القبيات الضهر,عكار,Eh1IYWxiYSAtIFFvdWJhaXlhdCBSZCwgTGViYW5vbg,34.5851039,36.1085948,القبيات الضهر
القبيات الغربية,عكار,ChIJ3ZJcsSA2IhURkOfWlKUHtHk,34.580494200000004,36.2621362,القبيات الغربية
القبيات القطلبه,عكار,ChIJZZVL9khIIhURUjGvSddjpFA,34.5490158,36.28758670000001,القبيات القطلبه
القدام,بعلبك,ChIJby6mcRUMIhURWAJNzCa8A3Y,34.182402,36.195783399999996,القدام
القرعون,البقاع الغربي,ChIJl7W-DMDZHhURSHd6ARYWz8o,33.566893900000004,35.7192567,القرعون
القرقف,عكار,ChIJD3ODfDciIhURonSVw7FiSqY,34.484444599999996,36.0208222,القرقف
القرنة,عكار,ChIJh4_IEGU9IhUR6khCdA5O7us,34.441629299999995,36.119138299999996,القرنة
القريات,عكار,ChIJ61Ftg6cYIhURehJLNlqREtI,34.544034,36.07983,القريات
القرية,صيدا,ChIJ-aD4LVWIHhUREm1GmAhMDxw,33.5570648,35.3729467,القرية
القرين,الضنية,ChIJ2TCcSREZIhURsuC9rOZtbFY,34.3985653,36.0321171,القرين
القصر,الهرمل,ChIJeeegsx5QIhURSjVnbiMK-E0,34.4785661,36.4385929,القصر
القصيبة,بعبدا,ChIJNc65eAk8HxURmPSqe1604sg,33.866898299999995,35.65047910000001,القصيبة
القصير,مرجعيون,ChIJIy-zrheRHhURvBgMKU01mqA,33.292903700000004,35.4538844,القصير
القطاره,جبيل,ChIJN4EPB_9WHxUR-B4lXnaHS44,34.1835359,35.7872093,القطاره
القطراني,جزين,ChIJY5Wm1DPCHhURxnV3ORo1NqE,33.4399501,35.60440379999999,القطراني
القطين,الضنية,ChIJ3fLDkWsZIhURtLQvP00mr_M,34.3913162,36.0287873,القطين
القعقور,المتن,ChIJ9WzR2so5HxURHul_x5mBeCo,33.895967799999994,35.720920299999996,القعقور
القلعة,بعبدا,ChIJYwQt-A06HxURIOlRrucMyZI,33.8395718,35.7299299,القلعة
القلمون,طرابلس,ChIJLZZYw33wIRURJkb4tL1s8rs,34.386389799999996,35.782652,القلمون
القليعات,كسروان,ChIJayg2ArRHHxURAJDzhGInptA,33.9721809,35.71381119999999,القليعات
القليعة,مرجعيون,ChIJEfStHH6VHhUR7G8-H9QYxYU,33.32718610000001,35.5654858,القليعة
القليلة,صور,ChIJg7JLyImAHhUR8lQ9ED012qw,33.1979773,35.2291122,القليلة
القماطيه,عاليه,ChIJ1QqYQcUiHxUR5vbxP0rH83g,33.810086299999995,35.59732589999999,القماطيه
القمامين,الضنية,ChIJ734eaIQ9IhURBABkFct-jX4,34.421408500000005,36.1395938,القمامين
القناية,صيدا,ChIJmUuAtqrx9xQR6BrLLd1JQFE,30.588423699999996,31.4903744,القناية
القنطرة,مرجعيون,ChIJVYWeb9mQHhURkHCHECH8PNo,33.2735667,35.4636549,القنطرة
القنيطرة,صيدا,ChIJ214Z9vHtHhURhk5kZbzS7o0,33.479892,35.4005078,القنيطرة
القوزح,بنت جبيل,ChIJQc40AdQpHBURYKY0740WzRY,33.116367600000004,35.3414799,القوزح
الكحاله,عاليه,ChIJAzWOJDU9HxURUjjnOPctWnE,33.826012299999995,35.5859393,الكحاله
الكحلونيه,الشوف,ChIJi7d8aZXfHhURVpCxuYykx5M,33.6491247,35.5901363,الكحلونيه
الكرك,زحلة,ChIJcVRGF8jKGBURZhWadlSfyEk,33.8483245,35.9270676,الكرك
الكرمه,زحلة,ChIJLYnm-8zKGBURx9nWUgIMutY,33.8436,35.9175524,الكرمه
